ID,titulacao,tipo_vinculo,dat_admissao,tempo_de_casa,cargo,regime_trabalho_mec,horas_totais,qtd_disciplina,qtd_alunos,horas_disciplina,horas_atv_dedicacao,nota_prof
530,Doutor              ,Regime,01/04/1998,21,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,67,10,28.33,4.63
531,Mestre              ,Aulista,04/02/1991,28,PROF.  ASSISTENTE IV,Horista,18.67,4,123,16,0,4.31
532,Mestre              ,Regime,01/03/1977,42,PROF.  ASSISTENTE II,Regime de Tempo Parcial,24.67,4,115,32,6,3.03
533,Doutor              ,Aulista,01/10/1996,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,69,8,30.67,4.75
534,Mestre              ,Aulista,15/10/1987,31,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,133,14,19,4.28
535,Mestre              ,Aulista,01/04/1987,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,26.83,11,77,23,0,4.32
536,Doutor              ,Aulista,01/02/1996,23,PROF. ADJUNTO IV,Regime de Tempo Parcial,19.33,4,182,14,3,4.14
537,Doutor              ,Aulista,01/03/1986,33,PROF. ADJUNTO IV,Regime de Tempo Parcial,14,3,57,9,3.5,4.4
538,Mestre              ,Aulista,01/09/1987,31,PROF.  ASSISTENTE IV,Horista,7,2,106,6,0,4.91
539,Doutor              ,Regime,01/05/1977,42,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,179,19,17.83,4.48
540,Mestre              ,Regime,11/05/1991,28,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,152,9,28.87,3.69
541,Especialista        ,Regime,02/03/1992,27,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,7,179,23,13.17,3.01
542,Mestre              ,Regime,01/05/1979,40,PROF.  ASSISTENTE IV,Horista,23.33,3,92,20,0,3.79
543,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,39.33,6,210,20,16,4.15
544,Mestre              ,Aulista,01/09/1995,23,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,33.67,8,253,36,8,2.68
545,Mestre              ,Regime,01/02/1980,39,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20,2,83,9,9.38,4.85
546,Especialista        ,Aulista,01/09/1999,19,PROF.  ASSISTENTE III,Regime de Tempo Parcial,16.33,4,106,22,0,3.99
547,Doutor              ,Regime,01/03/1989,30,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,71,8,30.67,3.83
548,Mestre              ,Aulista,05/03/1987,32,PROF.  ASSISTENTE IV,Horista,4.67,1,62,4,0,3.58
549,Doutor              ,Regime,01/02/1999,20,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,65,8,30.67,4.93
550,Doutor              ,Aulista,01/03/1989,30,PROF. ADJUNTO IV,Horista,7,2,33,6,0,4.36
551,Mestre              ,Aulista,20/02/1978,41,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,29.17,4,149,24,0,3.57
552,Mestre              ,Aulista,13/02/1978,41,PROF.  ASSISTENTE IV,Horista,17.03,2,72,14,0,4.63
553,Doutor              ,Aulista,04/08/1997,21,PROF. ADJUNTO IV,Regime de Tempo Parcial,34.67,5,117,16,16,4.57
554,Especialista        ,Aulista,14/03/1978,41,PROF.  ASSISTENTE III,Regime de Tempo Parcial,16.33,4,67,17,0,3.15
555,Doutor              ,Aulista,07/08/1989,29,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,4,125,12,16,4.25
556,Mestre              ,Regime,03/07/1990,28,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20,2,56,10,8.33,3.46
557,Mestre              ,Aulista,01/08/1996,22,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,34.5,8,159,27,3,3.55
558,Mestre              ,Aulista,01/03/1991,28,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,33,4,86,12,14.33,2.39
559,Mestre              ,Aulista,01/10/1993,25,PROF.  ASSISTENTE IV,Horista,18.67,2,158,16,0,4.64
560,Mestre              ,Regime,01/09/1985,33,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,150,16,21.33,3.56
561,Mestre              ,Aulista,20/02/1978,41,PROF.  ASSISTENTE IV,Horista,19.6,3,145,16,0,4.62
562,Mestre              ,Aulista,15/04/1982,37,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.5,7,123,21,0,3.52
563,Doutor              ,Aulista,05/02/1990,29,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,3,119,12,16,3.54
564,Especialista        ,Aulista,11/08/1980,38,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,105,20,16.67,3.1
565,Mestre              ,Regime,11/10/1991,27,PROF. ADJUNTO III,Regime de Tempo Parcial,23,2,56,10,11.33,3.32
566,Doutor              ,Regime,03/08/1998,20,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,6,275,26,15.5,4.17
567,Mestre              ,Aulista,01/04/1987,32,PROF. ADJUNTO III,Regime de Tempo Parcial,17.47,1,51,6,10,4.28
568,Mestre              ,Regime,01/05/1987,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20,2,65,12,6,4.51
569,Doutor              ,Aulista,01/03/1994,25,PROF. ADJUNTO IV,Regime de Tempo Parcial,22.5,4,96,12,8.5,4.51
570,Mestre              ,Regime,01/03/1986,33,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,13.33,2,62,8,4,4.7
571,Mestre              ,Aulista,01/10/1987,31,PROF.  ASSISTENTE IV,Horista,23.33,5,141,28,0,4.32
572,Doutor              ,Regime,01/03/1989,30,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,71,8,30.67,4.58
573,Mestre              ,Aulista,01/10/1978,40,PROF.  ASSISTENTE IV,Horista,28.6,4,98,24,0,2.8
574,Especialista        ,Aulista,01/08/2001,17,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,4,69,16,26,4.61
575,Mestre              ,Aulista,04/08/1993,25,PROF.  ASSISTENTE IV,Horista,30.33,8,273,36,0,3.24
576,Mestre              ,Regime,04/08/1981,37,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,198,19,17.84,3.73
577,Mestre              ,Regime,01/04/1989,30,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,101,13,24.83,2.8
578,Especialista        ,Aulista,02/03/1995,24,PROF.  ASSISTENTE III,Regime de Tempo Parcial,27.33,5,165,52,4,3.98
579,Doutor              ,Aulista,01/08/1991,27,PROF. ADJUNTO IV,Horista,30.33,4,197,30,0,4.18
580,Especialista        ,Aulista,01/08/1986,32,PROF.  ASSISTENTE IV,Horista,16.33,4,109,14,0,3.97
581,Mestre              ,Regime,04/08/1997,21,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,4,283,28,7.33,4.39
582,Especialista        ,Regime,01/03/1981,38,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20,2,37,6,13,4.58
583,Mestre              ,Aulista,01/10/1990,28,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,37.33,9,295,40,4.66,3.06
584,Doutor              ,Aulista,01/03/1997,22,PROF. ADJUNTO IV,Horista,32.67,6,367,36,0,4.47
585,Mestre              ,Aulista,01/04/1979,40,PROF.  ASSISTENTE IV,Horista,28,7,227,40,0,4.14
586,Especialista        ,Aulista,12/02/1979,40,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,21.67,2,30,16,3,3.81
587,Mestre              ,Aulista,01/04/1979,40,PROF. ADJUNTO IV,Horista,21,2,153,36,0,2.84
588,Doutor              ,Regime,01/09/1981,37,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,104,12,26,4.61
589,Doutor              ,Regime,05/02/1990,29,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,10,293,29,6.17,4.12
590,Doutor              ,Aulista,01/03/1988,31,PROF. ADJUNTO IV,Horista,14,3,102,12,0,4.36
591,Mestre              ,Aulista,05/03/1987,32,PROF.  ASSISTENTE IV,Horista,30.33,7,173,26,0,4.33
592,Mestre              ,Aulista,01/02/1993,26,PROF.  ASSISTENTE IV,Horista,37,8,260,86,2,4.46
593,Mestre              ,Aulista,01/02/1999,20,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31.17,7,172,25,2,4.36
594,Mestre              ,Aulista,01/09/1994,24,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,7,207,40,7.33,3.86
595,Mestre              ,Aulista,01/03/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,19.33,2,82,8,10,4.35
596,Especialista        ,Aulista,25/09/1979,39,PROF.  ASSISTENTE II,Regime de Tempo Parcial,38,8,282,27,7.67,4.49
597,Mestre              ,Aulista,01/03/1989,30,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,9,291,29,6.17,3.62
598,Doutor              ,Regime,01/09/1997,21,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,128,20,16.67,4.51
599,Doutor              ,Regime,01/09/1989,29,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,57,8,30.66,4.58
600,Mestre              ,Aulista,01/09/1988,30,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31.33,4,215,32,8,4.28
601,Mestre              ,Aulista,01/02/2015,4,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,18.17,3,83,21,3,3.67
602,Doutor              ,Aulista,01/04/1986,33,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,143,19,19,4.61
603,Mestre              ,Regime,01/02/1986,33,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,2,70,6,19,4.62
604,Doutor              ,Regime,01/04/1980,39,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,28,6,89,20,4.67,3.83
605,Doutor              ,Regime,07/08/1989,29,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,55,8,30.67,3.77
606,Mestre              ,Aulista,04/08/1997,21,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,17,4,111,12,3,4.63
607,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.67,5,212,44,6,4.37
608,Mestre              ,Regime,01/06/1989,29,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30,5,135,38,6.66,3.18
609,Graduado            ,Regime,02/11/1990,28,PROF. ADJUNTO III,Regime de Tempo Parcial,40,6,152,22,14.33,3.23
610,Doutor              ,Regime,01/02/1995,24,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,102,9,30.67,4.54
611,Doutor              ,Regime,05/03/1987,32,PROF. TITULAR,Regime de Tempo Integral,40,2,52,8,30.67,4.33
612,Mestre              ,Aulista,01/03/1988,31,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,83,12,28.33,4.74
613,Mestre              ,Aulista,03/08/1994,24,PROF.  ASSISTENTE IV,Horista,10.33,1,22,6,3.33,3.38
614,Doutor              ,Regime,01/02/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,83,8,30.67,4.33
615,Especialista        ,Aulista,02/02/1998,21,PROF.  ASSISTENTE II,Horista,18.67,2,204,16,0,3.43
616,Doutor              ,Regime,01/02/1994,25,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,28,2,28.33,4.58
617,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,17.33,4,100,12,3.33,4.26
618,Doutor              ,Aulista,01/05/1991,28,PROF. ADJUNTO IV,Regime de Tempo Parcial,24.33,2,41,8,15,4.94
619,Doutor              ,Regime,02/09/1996,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,72,5,29.5,4.38
620,Doutor              ,Aulista,05/03/1987,32,PROF. ADJUNTO IV,Regime de Tempo Parcial,22.83,7,72,18,3,4.4
621,Doutor              ,Aulista,01/08/1996,22,PROF. ADJUNTO IV,Regime de Tempo Parcial,23.92,4,186,16,5.25,4.5
622,Mestre              ,Aulista,01/11/1999,19,PROF.  ASSISTENTE IV,Horista,6.67,1,38,4,2,2.45
623,Doutor              ,Regime,04/08/1995,23,PROF. ADJUNTO IV,Regime de Tempo Parcial,38.33,6,105,20,15,4.04
624,Doutor              ,Regime,09/02/1981,38,PROF. ADJUNTO IV,Regime de Tempo Integral,40,6,154,46,19,3.98
625,Doutor              ,Regime,01/10/1990,28,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,130,9,29.5,2.75
626,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,9,220,25,10.83,4.49
627,Doutor              ,Regime,01/03/1989,30,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,41,8,30.67,4.77
628,Mestre              ,Aulista,02/10/1995,23,PROF.  ASSISTENTE IV,Horista,9.33,2,53,8,0,3.99
629,Doutor              ,Regime,03/08/1995,23,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,61,8,30.67,3.24
630,Mestre              ,Regime,01/03/1986,33,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,35,4,170,18,14,3.07
631,Doutor              ,Regime,10/08/1987,31,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,201,18,19,4.17
632,Mestre              ,Aulista,03/02/2014,5,PROF.  ASSISTENTE I,Horista,16.33,4,123,14,0,4.09
633,Mestre              ,Aulista,01/03/1997,22,PROF.  ASSISTENTE II,Regime de Tempo Parcial,17.33,2,95,8,8,4.36
634,Mestre              ,Regime,05/02/1990,29,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,8,116,28,14.33,4.26
635,Mestre              ,Aulista,03/02/1997,22,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,141,16,21.33,4.57
636,Especialista        ,Aulista,02/08/1988,30,PROF.  ASSISTENTE III,Regime de Tempo Integral,40,5,92,28,16.67,4.15
637,Mestre              ,Aulista,03/02/1997,22,PROF.  ASSISTENTE IV,Horista,30.33,7,338,50,0,3.18
638,Mestre              ,Regime,01/04/1987,32,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,173,16,21.33,3.23
639,Doutor              ,Aulista,02/08/1999,19,PROF. ADJUNTO IV,Horista,33.17,7,296,25,4,4.13
640,Mestre              ,Regime,05/02/1990,29,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,7,216,43,17.72,4.37
641,Doutor              ,Aulista,01/10/1988,30,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,6,231,42,7.33,3.71
642,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,29.17,4,233,25,0,4.12
643,Doutor              ,Regime,03/02/1997,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,41,8,30.67,4.75
644,Mestre              ,Aulista,09/02/1990,29,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,80,20,16.67,4.26
645,Mestre              ,Regime,02/08/1988,30,PROF. ADJUNTO I,Regime de Tempo Integral,40,4,97,14,23.67,3.45
646,Mestre              ,Aulista,01/02/1996,23,PROF.  ASSISTENTE IV,Horista,23.33,4,76,20,0,4.37
647,Doutor              ,Regime,01/06/1992,26,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,80,6,28.33,3.49
648,Mestre              ,Aulista,01/03/1997,22,PROF.  ASSISTENTE IV,Horista,23.33,6,157,20,0,4.37
649,Doutor              ,Aulista,01/02/1995,24,PROF. ADJUNTO IV,Regime de Tempo Parcial,35.5,2,90,18,16.83,4.76
650,Mestre              ,Regime,01/09/1998,20,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,230,26,19,4.44
651,Doutor              ,Aulista,01/09/1998,20,PROF. ADJUNTO IV,Regime de Tempo Parcial,39,6,187,44,11,3.31
652,Mestre              ,Aulista,10/08/1987,31,PROF.  ASSISTENTE IV,Horista,34.75,7,178,28,2,4.14
653,Pós-Doutor          ,Regime,04/08/1997,21,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,156,20,16.66,4.14
654,Especialista        ,Regime,02/09/1990,28,PROF. ADJUNTO III,Horista,40,7,180,31,3.6,4.46
655,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,25.33,4,149,16,16,4.17
656,Doutor              ,Aulista,03/02/1997,22,PROF. ADJUNTO IV,Regime de Tempo Parcial,36.33,9,204,34,6,4.05
657,Doutor              ,Aulista,01/02/1999,20,PROF. ADJUNTO IV,Horista,9.33,2,63,8,0,4.42
658,Mestre              ,Aulista,02/09/1985,33,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,27,1,18,18,6,3.52
659,Mestre              ,Aulista,01/02/1994,25,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,89,12,26,4.33
660,Doutor              ,Regime,02/08/1982,36,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,172,20,16.67,3.45
661,Doutor              ,Regime,03/11/1998,20,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,20,8,30.67,4.12
662,Doutor              ,Aulista,01/02/1999,20,PROF. ADJUNTO IV,Regime de Tempo Parcial,19.33,1,99,8,10,3.12
663,Doutor              ,Regime,01/02/1986,33,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,66,6,33,3.82
664,Mestre              ,Aulista,04/02/1991,28,PROF. ADJUNTO III,Horista,11.67,4,62,10,0,3.03
665,Mestre              ,Aulista,01/04/1983,36,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,38.02,5,67,26,7.33,3.26
666,Mestre              ,Aulista,02/02/1998,21,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,19,4,94,14,2.67,4.52
667,Doutor              ,Regime,05/02/1990,29,PROF. ADJUNTO IV,Regime de Tempo Integral,40,11,187,29,6.17,4
668,Doutor              ,Regime,01/08/1990,28,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,125,24,12,3.62
669,Doutor              ,Aulista,04/02/1991,28,PROF. ADJUNTO IV,Regime de Tempo Parcial,36.5,3,124,12,22.5,4.35
670,Doutor              ,Aulista,01/03/1998,21,PROF. ADJUNTO IV,Regime de Tempo Parcial,31.33,6,179,22,5.67,3.65
671,Mestre              ,Aulista,03/02/1992,27,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,39,4,50,32,4,3.5
672,Mestre              ,Aulista,06/02/1984,35,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,21.5,3,36,15,4,4.6
673,Doutor              ,Regime,01/09/1995,23,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,20,16,30.67,3.5
674,Mestre              ,Aulista,01/09/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.33,5,130,18,8,4.41
675,Doutor              ,Aulista,03/08/1995,23,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,47,20,16.67,4.64
676,Doutor              ,Regime,06/02/1984,35,PROF. TITULAR,Regime de Tempo Integral,40,2,126,20,16.67,4.55
677,Doutor              ,Regime,01/08/1986,32,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,144,15,22.5,4.56
678,Mestre              ,Regime,01/03/1988,31,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,87,8,30.66,4.39
679,Mestre              ,Regime,01/08/1984,34,PROF. TITULAR,Regime de Tempo Integral,40,6,144,16,21.33,4.38
680,Doutor              ,Regime,01/02/1999,20,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,52,8,30.67,4.52
681,Mestre              ,Regime,02/02/1998,21,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,68,15,22.5,4.83
682,Especialista        ,Aulista,01/03/1997,22,PROF.  ASSISTENTE II,Horista,16.33,3,66,14,0,4.24
683,Mestre              ,Aulista,01/08/1996,22,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,75,16,21.33,4.23
684,Mestre              ,Aulista,01/09/1995,23,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,22.5,3,199,17,2.67,4.7
685,Mestre              ,Aulista,23/03/1987,32,PROF.  ASSISTENTE IV,Horista,30.33,5,296,26,0,4.1
686,Mestre              ,Aulista,01/02/1999,20,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,241,28,16.67,4.37
687,Mestre              ,Aulista,01/02/1999,20,PROF.  ASSISTENTE IV,Horista,18.67,6,211,48,0,3.57
688,Doutor              ,Aulista,01/02/1999,20,PROF. ADJUNTO IV,Regime de Tempo Parcial,12.83,2,110,11,0,4.44
689,Mestre              ,Aulista,06/08/2001,17,PROF.  ASSISTENTE IV,Horista,21,3,44,18,0,3.35
690,Mestre              ,Aulista,01/09/1985,33,PROF. ADJUNTO III,Regime de Tempo Integral,40,5,229,19,17.83,4.84
691,Especialista        ,Aulista,03/02/1997,22,PROF.  ASSISTENTE III,Regime de Tempo Parcial,40,4,246,48,12,3.63
692,Doutor              ,Regime,03/08/1994,24,PROF. ADJUNTO IV,Regime de Tempo Parcial,31.67,5,95,14,20,3.69
693,Doutor              ,Regime,01/08/1990,28,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,47,6,33,4.69
694,Doutor              ,Regime,01/09/1989,29,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,134,9,29.5,3.55
695,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,23.67,4,87,14,7.33,4.84
696,Mestre              ,Aulista,02/03/1995,24,PROF.  ASSISTENTE IV,Horista,17.5,3,29,15,0,3.16
697,Doutor              ,Regime,07/05/1987,32,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,77,8,30.67,3.98
698,Doutor              ,Regime,01/02/1996,23,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,78,8,30.67,4.06
699,Mestre              ,Aulista,01/03/1986,33,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,16.67,1,22,4,12,4.82
700,Mestre              ,Aulista,01/03/1988,31,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,22.67,3,116,16,4,1.94
701,Mestre              ,Aulista,04/08/1997,21,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,14.33,2,55,8,5,4.72
702,Mestre              ,Regime,01/09/1987,31,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30,3,86,10,18.33,4.31
703,Mestre              ,Aulista,01/03/1997,22,PROF.  ASSISTENTE IV,Horista,23.33,4,113,44,0,3.31
704,Mestre              ,Aulista,01/09/1991,27,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,15,4,83,12,1,3.39
705,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,14.67,3,84,10,3,4.54
706,Mestre              ,Aulista,05/03/1987,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30.52,3,121,18,8,4.39
707,Mestre              ,Aulista,01/02/1999,20,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,9,211,39,8.5,4.41
708,Mestre              ,Aulista,01/10/1999,19,PROF.  ASSISTENTE IV,Horista,8.67,2,19,4,4,4.82
709,Mestre              ,Regime,01/08/1986,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,8,198,76,14.33,3.86
710,Doutor              ,Regime,04/02/1991,28,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,168,14,23.67,4.46
711,Doutor              ,Regime,03/02/1997,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,242,28,26,3.63
712,Mestre              ,Aulista,01/05/1988,31,PROF.  ASSISTENTE IV,Horista,21,3,115,18,0,4.67
713,Doutor              ,Regime,01/03/1998,21,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,110,14,23.67,4.44
714,Mestre              ,Aulista,17/08/1987,31,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,33.2,3,127,15,15,4.57
715,Mestre              ,Aulista,04/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,23.67,2,205,16,5,4.28
716,Mestre              ,Aulista,03/08/1998,20,PROF.  ASSISTENTE II,Horista,23.33,6,265,20,0,4.39
717,Mestre              ,Aulista,01/03/1997,22,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,188,18,14.33,4.75
718,Doutor              ,Aulista,02/08/1999,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,186,18,19,4.64
719,Mestre              ,Aulista,03/02/1997,22,PROF.  ASSISTENTE IV,Horista,14,2,187,24,0,4.15
720,Doutor              ,Aulista,04/08/1997,21,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,182,16,21.33,4.59
721,Especialista        ,Aulista,01/08/1986,32,PROF.  ASSISTENTE II,Horista,37.33,6,336,32,0,3.04
722,Mestre              ,Aulista,01/08/1986,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,37.67,6,123,18,16.67,4.49
723,Mestre              ,Aulista,01/09/1986,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,14.32,1,66,9,3,2.97
724,Mestre              ,Aulista,10/09/1986,32,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20.83,2,76,15,3.33,4.51
725,Mestre              ,Aulista,01/09/1986,32,PROF.  ASSISTENTE IV,Horista,31.7,5,158,24,3,4.43
726,Mestre              ,Aulista,01/09/1987,31,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,12.67,3,48,10,1,3.46
727,Especialista        ,Aulista,02/08/1988,30,PROF.  ASSISTENTE IV,Horista,37,6,210,56,2,4.62
728,Doutor              ,Regime,02/10/1995,23,PROF. ADJUNTO IV,Regime de Tempo Parcial,23,4,119,13,7.83,4.56
729,Mestre              ,Aulista,01/09/1986,32,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,179,28,21.33,4.7
730,Doutor              ,Regime,01/09/1998,20,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,93,12,26,4.39
731,Especialista        ,Aulista,01/08/1991,27,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,4,101,20,16.67,3.76
732,Doutor              ,Aulista,12/08/1987,31,PROF. ADJUNTO IV,Horista,11.67,3,165,18,0,3.41
733,Doutor              ,Aulista,01/11/1986,32,PROF. ADJUNTO IV,Regime de Tempo Integral,40,9,141,22,14.33,3.94
734,Doutor              ,Aulista,03/02/1997,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,6,182,28,16.67,4.32
735,Mestre              ,Regime,01/03/1998,21,PROF.  ASSISTENTE IV,Horista,7,3,74,6,0,3.59
736,Doutor              ,Aulista,05/03/1987,32,PROF. ADJUNTO IV,Regime de Tempo Parcial,33.13,3,96,16,14,3.21
737,Doutor              ,Regime,13/02/1989,30,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,71,6,33,4.26
738,Mestre              ,Aulista,01/10/1999,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,27.67,1,36,4,23,4.02
739,Doutor              ,Aulista,01/02/1994,25,PROF. ADJUNTO IV,Horista,23.33,2,96,20,0,4.8
740,Doutor              ,Regime,01/03/1990,29,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,85,8,30.67,4.37
741,Doutor              ,Regime,02/08/1999,19,PROF. ADJUNTO IV,Regime de Tempo Parcial,30,3,84,18,9,4.75
742,Doutor              ,Regime,02/05/1991,28,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,40,14,23.67,3.65
743,Mestre              ,Regime,03/08/1998,20,PROF.  ASSISTENTE II,Regime de Tempo Parcial,32,4,226,24,4,4.72
744,Doutor              ,Aulista,03/02/1997,22,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,53,8,30.67,4.62
745,Doutor              ,Regime,01/04/1987,32,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,61,12,21.33,4.38
746,Mestre              ,Aulista,01/05/1988,31,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,4,192,28,7.33,4.82
